,roaster,coffee_name,cost,roast_level,location,process,varietals,tasting_notes,rating
529,Stay Golden,Nueva Segovia,17.35,Medium-Dark Roast,"Nashville, TN","WashedSub RegionLas SegoviasElevation1,200 - 1,500VarietyMaragogype, Pacamara","Maragogype, Pacamara","Nueva Segovia is produced in Nicaragua, in a region bordering Honduras. This area is prized for it's high quality coffee. Smallholder farmers work to bring this coffee together for you. Most of them have as little as 2-10 hectares each. ",0
530,Irving Farm,71 House Blend,17.35,Medium Roast,"New York, NY","WashedElevation1350VarietyBourbon, Catuai, Caturra","Bourbon, Catuai, Caturra","Our signature House Blend was created as the hallmark coffee for our original cafe at 71 Irving Place. The blend has a chocolate, round, and smooth flavor. ",0
531,DOMA,Carmela's,17.35,Medium Roast,"Post Falls, ID","Washed, ","Brasil - Bourbon, Mundo Novo. Colombia - Caturra, Castillo, Typica. Guatemala - Pache, Caturra.","Carmela's will have aromas of brown sugar and almond, dark chocolate flavors, aftertastes of caramel, a mild acidity, smooth body and a balanced sweetness. This is the perfect coffee for anytime of day. We've been enjoying this blend as drip or with a French Press lately, but that's not to say it wouldn't make a killer espresso, because it does. ",0
532,Gimme!,Brazil Cerrado,17.35,Medium Roast,"Ithaca, NY",Pulped ,"Bourbon, Mundo Novo, Red and Yellow Catuai, Topazio","This coffee is from the Minas Gerais region of Brazil. Located in the plateaus of the Cerrado ecosystem, coffees from this region are known for their nutty, chocolaty flavor profiles, with this particular coffee showing exceptional consistency and a smooth body.",0
533,Klatch,Old World Venezia,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyVarious,Various,"This full bodied blend will give you a taste of the romantic Italian cafes of Venice, as if you are sitting alongside the canals with a wonderful cup of coffee in your hand. Rich and smooth.",0
534,Atomic,Rocketeer,17.35,Medium Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Catimor","Bourbon, Catimor","T-minus 20 seconds for liftoff... Rocketeer is our most popular offering, and for good reason. Roasted just a bit darker than House Blend (20 seconds to be exact), you can expect a smooth cup with great body, and notes of chocolate, cedar, and baking spices. One of our most versatile blends, Rocketeer is wonderful on many brew methods, and pairs well with milk.",0
535,Stay Golden,Hold Fast,17.35,Dark Roast,"Nashville, TN",WashedVarietyVarious,Various,"We'll be the first to admit that not everyday starts out on the right foot. That's something we can all relate to, right? But, if you're anything like us then taking even just a moment to stop and intentionally enjoy your first sip of coffee can really help set you on the right track. Remember there's good in the difficult moments. Hold Fast - because it won't always be like this. ",0
536,Caffe Vita,Papua New Guinea,17.35,Medium Roast,"Seattle, WA",,"Typica, Bourbon St Raymond","In collaboration with Woodland Park Zoo and Tree Kangaroo Conservation Program (TKCP), Caffe Vita presents this exclusive roast from the YUS Conservation Area of Papua New Guinea. Through a community based approach, TKCP has worked with local landowners to establish over 180,000 acres of protected land, home to the endangered Matschie’s tree kangaroo.",0
537,Irving Farm,Highline Blend,17.35,Light Roast,"New York, NY",WashedVarietyvaries,varies,"Our light roast offering raises the bar for a bright, delicate cup with sweet and tart notes. This coffee is certified Organic by Natural Food Certifiers. ",0
538,Klatch,Klatch's Best House Blend,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyVarious,Various,"The perfect house coffee. This four bean blend is constructed with some of the world's finest Central and South American, and Indonesia coffees. This blend captures optimal peak flavor with its mellow, smooth and inviting aroma. Klatch House Blend executes the perfect balance and sweetness paired to create a quintessential Klatch coffee experience.",0
539,Sightglass,Organic Toketee,17.35,Medium-Dark Roast,"San Francisco, CA",WashedHarvest TimeSeasonallyVarietyVarious,Various,"Toketee is an elevated take on the classic drip blend, showcasing carefully curated, seasonally rotating coffees from Central and South America.",0
540,Stay Golden,Hang Tough,21.8,Medium-Dark Roast,"Nashville, TN","Washed, ","Caturra, Catuai","Hang Tough knows you’ve got a lot on your plate. This Colombia and Guatemala dark roasted blend is as familiar as it is trustworthy. With taste notes of dark chocolate, toffee and a full body, you’ll get the jolt you need to keep keepin’ on. ",0
541,Sparrows,Burundi Kayanza,20.6,Medium Roast,"Grand Rapids, MI","WashedSub RegionKayanzaHarvest TimeMay 2020Elevation1,760 - 1,760VarietyBourbon, Jackson, Mibrizi","Bourbon, Jackson, Mibrizi","Celebrating its origins most beloved cup qualities, this coffee blends savory sweetness and dried fruit with citrus vibrancy and silky mouthfeel. Translated as ""dreams"" in Kirundi, Indoto coffee grows among bananas, beans, and cassava plants and undergoes 12 hours of fermentation and 24 hours of washing in a mountain stream. This one is sweet...like super sweet.",0
542,Sightglass,Blueboon,17.35,Medium Roast,"San Francisco, CA",WashedHarvest TimeSeasonallyVarietyVarious,Various,"Blueboon is an incredibly versatile blend and a cornerstone of our offerings. This is our go-to Saturday morning cup, perfect for any brew method and approachable enough to satisfy any palate.",0
543,Necessary,Blend,17.35,Medium Roast,"Lancaster, PA","WashedSub RegionSuaza, Huila (Colombia) and Kayanza (Burundi)VarietyCaturra, Colombia, Castillo (Colombia) and Bourbon (Burundi)","Caturra, Colombia, Castillo (Colombia) and Bourbon (Burundi)","Our blend is a designed to be a daily drinker. Comprised of coffees from Latin America and East Africa, the exact lots that comprise this coffee change with the seasons, but always aim to present the same chocolatey flavor profile. Beyond the flavor profile, the buying philosophy behind this and all Necessary coffees stays consistent, as well: we seek to buy lots from producing partners that present every good quality, and benefit our partners financially",0
544,PT's,Neja Fadil Natural,24.75,Light-Medium Roast,"Topeka, KS",,Heirloom,A silky cup with layers of fruit and candied sweetness.,0
545,City of Saints,Citizen,17.35,Medium Roast,"Brooklyn, NY","WashedSub RegionAntigua and Minas Gerais Elevation1,200VarietyTypica, Bourbon, Mondo Novo, Caturra ","Typica, Bourbon, Mondo Novo, Caturra ","This blend is a seasonal pairing of coffees that we feel coalesce to form a cozy, crisp, sweet, and accessible option amenable both to espresso and drip preparations. In our own cafés, Citizen is the standard offering for espresso, where it evokes a heavy caramel body offset by zesty citrus and a chocolate finish.",0
546,Onyx,Rwanda Kanzu #5,25.9,Medium Roast,"Fayetteville, AR","WashedElevation1,800 - 2,100VarietyBourbon",Bourbon,"In the tropical volcanic soil of Rwanda just west of the famed Lake Kivu, lies the Kanzu coffee station that mills this group of smallholders farmers. This coffee showcases a rich exotic sweetness tasting of different caramelization levels of complex sugars and stone fruits. A great coffee to introduce an origin and unique flavor profile that we don’t purchase from often. The tactile is round, silky and juicy. ",0
547,Sightglass,Organic Crown Point,17.35,Medium Roast,"San Francisco, CA",WashedVarietyVarious,Various,"This seasonally rotating, three component espresso was crafted to pair tremendously with milk, and serve as a blend for drinkers of all types.",0
548,Novo,Ojo De Agua,20.6,Light-Medium Roast,"Denver, CO","WashedSub RegionVolcanProducerHartmannsHarvest TimeJanuary 2020 - March 2020Elevation1,300 - 1,500VarietyCatuai/Caturra",Catuai/Caturra,"Finca Hartmann has been a wonderful partner to Novo for over 10 years. Their innovation and experimentation with different coffee varieties and processing methods have been emulated throughout the Americas. They take great care of their farm, which also serves as a popular environmental tourism location. For Novo, this is our ideal of direct trade—rewarding high quality with high prices in a relationship that values trust, innovation, and sustainability.",0
549,Greater Goods,Stimulate,18.85,Dark Roast,"Austin, TX","WashedSub RegionYirgacheffe / Matagalpa / HuilaProducerSmallholders who deliver to the above co-ops and washing stationsHarvest TimeSep-DecElevation1,700VarietyVarious",Various,"What goes up must come down! Gravity being the buzzkill that it is, that saying doesn’t work so well the other way around. We all need a little boost every now and then, and this bold Eth/Nic/Colo blend - with notes of deep dark chocolate, roasted almond, and brown sugar - will send you soaring. ",0
550,Red Rooster,Starr Hill Stout Blend,17.35,Medium-Dark Roast,"Floyd, VA",WashedVarietyMixed,Mixed,"Our Starr Hill Stout Blend is a smooth and complex coffee with tasting notes of dark chocolate and sweet caramel. This three bean blend was created as a collaboration with our friends at Starr Hill Brewery to be used in their fabulous coffee cream stout, Little Red Roostarr. Perfect by itself, or paired with cream and sugar. ",0
551,Verve,Ethiopia Kata Maduga,23.25,Light-Medium Roast,"Santa Cruz, CA","WashedSub RegionGoma WoredaHarvest TimeOctober - MarchElevation1,900 - 2,100VarietyEthiopian Heirloom",Ethiopian Heirloom,"On the first sip, notice a slight acidity of White Peach, which is followed by a sweet body throughout of golden honey. It is soft and delicate in mouthfeel, which settles into a clean finish.",0
552,Red Rooster,El Salvador Finca Hungria,17.35,Medium Roast,"Floyd, VA","WashedSub RegionSanta AnaVarietyBourbon, Caturra, Pacas, Catimor","Bourbon, Caturra, Pacas, Catimor","Established in the 1930's, Finca Hungria is an organic farm that also carries the Rainforest Alliance and SMBC certifications. Significant tree cover by cedar, oak, and balsam offers shaded growth for the farm's coffee and provides a natural rainforest habitat for local birds. Largely unscathed by the Ilamatepec eruption in 2006 and the coffee rust epidemic in 2012, the farm maintains strong production and has achieved a Denomination of Origin status. ",0
553,Metric,Peru El Rejo,24.75,Light Roast,"Chicago, IL","WashedProducerJose RiveraElevation1,750VarietyBourbon & Caturra",Bourbon & Caturra,We are excited to welcome Jose’s own coffee into the Metric Coffee menu and are proud partners of Origin Coffee Lab for whom we owe all the gratitude in the world for connecting us with some of the very best coffee we’ve ever tasted coming out of Peru.,0
554,City of Saints,Colombia Santa Barbara Dark Roast,17.35,Medium Roast,"Brooklyn, NY","WashedSub RegionAntioqiaProducerDon Pedro EchavarriaHarvest TimeJune 2019Elevation1,400VarietyColombia, Castillo","Colombia, Castillo","This single origin dark roast is an homage to Colombian coffee.  We set out to create a roast that would highlight the spectacular sweetness that characterizes the best Colombian coffees, while emphasizing a round body and a great balance between acidity and bitterness.  ",0
